鄉鎮市區,交易標的,土地移轉總面積(平方公尺),使用分區或編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,建築完成年月,建物移轉總面積(平方公尺),建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總價(元),單價(元/平方公尺),車位類別,車位移轉總面積(平方公尺),車位總價(元),備註
苓雅區,房地(土地+建物),2.65,商,1050305,土地1建物1車位0,九層,15,住宅大樓(11層含以上有電梯),住家用,960508,32.42,2,1,1,有,無,有,16500,509,無,0,0,
苓雅區,房地(土地+建物),28.11,住,1050226,土地1建物1車位0,五層,5,公寓(5樓含以下無電梯),,680908,75.55,1,1,1,有,無,有,10000,132,無,0,0,
鼓山區,房地(土地+建物)+車位,56.66,住,1050317,土地1建物1車位2,十層,27,住宅大樓(11層含以上有電梯),住家用,971014,383.84,4,2,3,有,有,有,85000,221,坡道平面,52.76,0,
前金區,房地(土地+建物),6.34,商,1050313,土地1建物1車位0,十三層,15,住宅大樓(11層含以上有電梯),住家用,1010926,92.56,1,1,1,有,有,有,18000,194,無,0,0,
鳳山區,房地(土地+建物),25.09,住,1050317,土地1建物1車位0,見其他登記事項,19,住宅大樓(11層含以上有電梯),住商用,851130,227.55,3,2,3,有,有,無,25000,110,無,0,0,
鼓山區,房地(土地+建物)+車位,11.23,商,1050315,土地1建物1車位1,六層,9,華廈(10層含以下有電梯),住家用,940322,88.26,2,2,1,有,有,有,17777,201,坡道機械,0,0,含地下二樓編號28號機械式車位乙位
三民區,房地(土地+建物),86,住,1050312,土地1建物1車位0,見其他登記事項,5,店面(店鋪),,700514,284.77,0,0,0,無,無,無,28000,98,無,0,0,
苓雅區,建物,0,商,1050318,土地0建物1車位0,八層,35,住宅大樓(11層含以上有電梯),住家用,860421,125.6,3,2,2,有,有,有,13000,104,無,0,0,
苓雅區,建物,0,商,1050315,土地0建物1車位0,三十二層,35,住宅大樓(11層含以上有電梯),住家用,860421,278.64,5,2,4,有,有,有,42000,151,無,0,0,
鼓山區,建物,0,住,1050308,土地0建物1車位1,十層,13,住宅大樓(11層含以上有電梯),住家用,1010921,154.44,3,2,2,有,有,有,20000,130,坡道機械,12.39,0,
三民區,房地(土地+建物),7.03,商,1040702,土地1建物1車位0,二層,14,住宅大樓(11層含以上有電梯),住家用,1031124,48.06,2,1,1,有,無,有,14500,302,無,0,0,
橋頭區,建物,154.82,住,1050315,土地0建物1車位0,全,4,透天厝,住商用,810820,41.83,0,0,0,無,無,無,10000,239,無,0,0,2F~4F側牆廣告出租
阿蓮區,房地(土地+建物),132,住,1050318,土地1建物1車位0,全,3,透天厝,住家用,1040121,226.19,5,3,5,有,無,無,13000,57,無,0,0,
阿蓮區,房地(土地+建物),132,住,1050318,土地1建物1車位0,全,3,透天厝,住家用,1040121,226.19,5,3,5,有,無,無,13000,57,無,0,0,
左營區,建物,0,住,1050311,土地0建物0車位0,全,4,透天厝,住商用,860203,25,1,0,1,有,無,有,6000,240,無,0,0,透天型分租套房。
前鎮區,房地(土地+建物),155,住,1050321,土地1建物1車位0,一層,4,店面(店鋪),,660820,103.61,0,0,0,無,無,無,28000,270,無,0,0,
前鎮區,房地(土地+建物),78,住,1050322,土地1建物1車位0,全,3,透天厝,,640701,162.03,0,0,0,無,無,無,30000,185,無,0,0,
苓雅區,房地(土地+建物),143,住,1050322,土地2建物2車位0,全,2,透天厝,住家用,560204,212.27,0,0,0,無,無,無,55000,259,無,0,0,
苓雅區,建物,0,商,1050317,土地0建物1車位0,十一層,12,住宅大樓(11層含以上有電梯),,780603,143.38,3,2,1,有,有,有,10000,70,無,0,0,
苓雅區,建物,0,商,1050314,土地0建物1車位0,十一層,12,辦公商業大樓,,790418,96.78,0,0,0,無,有,無,11000,114,無,0,0,
前鎮區,房地(土地+建物),20.03,商,1050316,土地1建物1車位0,十四層,29,住宅大樓(11層含以上有電梯),住家用,1030715,332.02,4,2,3,有,有,有,70000,211,無,0,0,
鼓山區,建物,0,,1050315,土地0建物1車位0,四層,15,住宅大樓(11層含以上有電梯),住家用,950126,173.28,4,2,2,有,有,無,25000,144,無,0,0,含管理費2.5萬
前金區,房地(土地+建物),23.55,商,1050322,土地1建物1車位0,一層,7,華廈(10層含以下有電梯),,700523,108.44,0,0,0,無,無,無,20000,184,無,0,0,
三民區,房地(土地+建物),72.21,住,1050323,土地1建物1車位0,一層,11,店面(店鋪),,771026,98.4,0,0,0,有,無,無,30000,305,無,0,0,
三民區,房地(土地+建物),69,住,1050309,土地1建物1車位0,全,3,透天厝,,660528,140.91,0,0,0,無,無,有,30000,213,無,0,0,
岡山區,建物,57.42,商,1050320,土地0建物1車位0,全,3,透天厝,住商用,661125,38.13,6,0,4,有,無,有,3000,79,無,0,0,雅房
岡山區,房地(土地+建物),8.08,住,1050315,土地1建物1車位0,二十層,24,住宅大樓(11層含以上有電梯),住家用,841118,119.72,5,1,2,有,有,有,11000,92,無,0,0,
鳳山區,房地(土地+建物),30.8,住,1050323,土地1建物1車位0,一層,7,店面(店鋪),住商用,840919,107.97,2,2,2,有,有,無,33000,306,無,0,0,
鳳山區,房地(土地+建物),45,商,1050323,土地2建物1車位0,見其他登記事項,3,店面(店鋪),住商用,660801,100.62,2,3,3,有,無,無,18000,179,無,0,0,
鳳山區,房地(土地+建物),62,住,1050315,土地1建物1車位0,全,2,透天厝,住家用,590302,91.3,0,0,0,無,無,無,11000,120,無,0,0,
三民區,建物,0,商,1050308,土地0建物1車位0,見其他登記事項,14,辦公商業大樓,,710705,624.09,0,0,0,無,無,有,106000,170,無,0,0,
三民區,房地(土地+建物)+車位,10.01,住,1050324,土地2建物1車位1,六層,15,住宅大樓(11層含以上有電梯),住家用,1040813,100.36,2,2,1,有,無,有,18000,179,坡道平面,0,0,
前鎮區,建物,0,住,1050306,土地0建物1車位0,四層,5,公寓(5樓含以下無電梯),,680509,77.88,3,2,2,有,無,有,8000,103,無,0,0,
苓雅區,建物,0,商,1050324,土地0建物1車位0,十層,35,住宅大樓(11層含以上有電梯),住家用,860421,94.71,2,2,1,有,有,有,10000,106,無,0,0,
前鎮區,房地(土地+建物),58.5,商,1050309,土地1建物2車位0,見其它登記事項,4,店面(店鋪),,640505,213.34,0,0,0,無,無,無,100000,469,無,0,0,
小港區,房地(土地+建物),34.04,住,1050309,土地1建物1車位0,見其它登記事項,12,店面(店鋪),住商用,831111,143.46,4,2,3,有,無,有,18000,125,無,0,0,
鼓山區,建物,0,商,1050309,土地0建物2車位0,一層,21,店面(店鋪),住商用,880729,335.46,0,2,0,有,有,無,180000,537,無,0,0,
三民區,建物,26.84,住,1050323,土地0建物1車位0,四層,5,公寓(5樓含以下無電梯),,720816,93.49,3,2,2,有,無,有,10000,107,無,0,0,
三民區,房地(土地+建物),106,住,1050326,土地1建物1車位0,全,4,透天厝,,770112,458.03,5,2,4,有,無,有,28000,61,無,0,0,
