前鎮區,房地(土地+建物),高雄市前鎮區新光路1~30號,1.28,住,1050728,土地1建物1車位0,九層,39,住宅大樓(11層含以上有電梯),住家用,見其它登記事項,880209,39.59,1,1,1,有,有,有,8000,202,,0,0,,RPRNMLKKQHLFFCE18CC
小港區,房地(土地+建物),高雄市小港區高坪1~30號,85.37,住,1050805,土地1建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,940715,164.03,3,2,3,有,無,有,12500,76,,0,0,,RPTNMLKKQHLFFCE38CC
前鎮區,房地(土地+建物),高雄市前鎮區新光路1~30號,2.13,住,1050802,土地1建物1車位0,十九層,37,住宅大樓(11層含以上有電梯),住家用,見其它登記事項,880209,65.73,2,1,1,有,無,有,11800,180,,0,0,,RPUNMLKKQHLFFCE48CC
苓雅區,房地(土地+建物)+車位,高雄市苓雅區和平一路61~90號,23.15,住,1050804,土地1建物1車位1,十三層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,941206,220.7,3,2,2,有,有,有,42000,190,坡道平面,35.28,0,,RPRSMLKKQHLFFBE58CC
苓雅區,建物,高雄市苓雅區仁義街1~30號,0,商,1050802,土地0建物1車位1,十層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,930303,93.8,2,2,1,有,無,有,19000,203,坡道機械,5.31,0,,RPOTMLKKQHLFFBE38CC
新興區,建物,高雄市新興區球庭路61~90號,0,商,1050725,土地0建物1車位0,七層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010509,81.56,2,2,1,有,有,有,16000,196,,0,0,,RPOUMLKKQHLFFBE48CC
鳳山區,房地(土地+建物),高雄市鳳山區八德路二段151~180號,23.7,住,1050727,土地1建物1車位0,四層,16,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,830420,158.02,4,2,2,有,有,無,17160,109,,0,0,,RPROMLKKQHLFFGE68CC
三民區,房地(土地+建物)+車位,高雄市三民區建國三路331~360號,13.43,商,1050803,土地1建物1車位1,二十四層,29,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1021112,285.8,3,2,3,有,有,有,30000,105,坡道平面,21.4,0,,RPTOMLKKQHLFFDE58CC
左營區,房地(土地+建物)+車位,高雄市左營區自勉路121~150號,24.17,住,1050801,土地1建物1車位1,十層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,970108,202.82,2,2,2,有,無,有,22555,111,坡道平面,7.76,0,,RPWOMLKKQHLFFEE98CC
左營區,房地(土地+建物)+車位,高雄市左營區東門路131巷1~30號,9.59,住,1050808,土地1建物1車位1,四層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,971105,91.52,2,1,1,有,無,有,20000,219,坡道平面,13.39,0,,RPOPMLKKQHLFFEE28CC
前鎮區,房地(土地+建物),高雄市前鎮區正勤路1~30號,86.25,住,1050810,土地1建物1車位0,一層,14,店面(店鋪),住商用,鋼筋混凝土造,910619,117.36,0,0,0,無,無,無,30000,256,,0,0,,RPVNMLLKQHLFFCE68CC
路竹區,房地(土地+建物),高雄市路竹區中山路481~510號,62.8,住,1050720,土地1建物1車位0,二層,2,套房(1房1廳1衛),住家用,鋼筋混凝土造,790410,11.6,1,0,1,有,無,有,4000,345,,0,0,,RPWNMLLKQHLFFJE86CC
前鎮區,房地(土地+建物),高雄市前鎮區民權二路211~240號,10.65,商,1050806,土地1建物1車位0,二十二層,27,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,860527,68.05,4,2,2,有,有,有,18000,265,,0,0,"租金18000元/月,此租金含管理費2280元/月",RPQNMLMKQHLFFCE28CC
前鎮區,房地(土地+建物)+車位,高雄市前鎮區中華五路751~780號,33.13,住,1050810,土地1建物1車位1,十六層,27,住宅大樓(11層含以上有電梯),住家用,見其它登記事項,1000622,295.29,3,2,2,有,有,有,80000,271,坡道平面,30.79,0,,RPPOMLMKQHLFFCE28CC
鼓山區,建物,高雄市鼓山區美術南五街271~300號,49.25,住,1050726,土地0建物1車位0,十四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1011025,77.25,2,1,1,有,有,有,17000,220,,0,0,,RPSNMLMKQHLFFAE28CC
苓雅區,建物,高雄市苓雅區同慶路91~120號,0,住,1050725,土地0建物1車位0,見其他登記事項,12,店面(店鋪),住商用,鋼筋混凝土造,930705,342.67,0,2,2,有,有,無,70000,204,,0,0,分段式租金105/9-107/9每月70000元，107/10-110/9每月73000元,RPUOMLMKQHLFFBE68CC
三民區,房地(土地+建物)+車位,高雄市三民區天祥二路1~30號,10.44,住,1050717,土地1建物1車位1,八層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030831,90.49,2,1,1,有,有,無,18000,199,坡道平面,23.23,0,,RPWOMLMKQHLFFDE09CC
鳳山區,建物,高雄市鳳山區錦田路151~180號,25.92,,1050813,土地0建物1車位0,三層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,671130,66.6,3,1,1,有,無,有,6500,98,,0,0,,RPPNMLNKQHLFFGE68CC
鳳山區,建物,高雄市鳳山區南華路1巷2弄1~30號,25.2,,1050815,土地0建物1車位0,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,680523,58.1,3,1,1,有,無,有,6000,103,,0,0,,RPXOMLPKQHLFFGE17CC
左營區,房地(土地+建物),高雄市左營區自由二路301~330號,21.5,商,1050721,土地1建物1車位0,一層,12,店面(店鋪),住商用,鋼筋混凝土造,811027,50.97,0,0,1,有,無,有,20000,392,,0,0,,RPWNMLPKQHLFFEE76CC
左營區,建物,高雄市左營區保靖街31~60號,55.24,,1050815,土地0建物1車位0,十四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1031104,110.29,2,1,1,有,有,有,24500,222,,0,0,含管含車位,RPUOMLPKQHLFFEE66CC
苓雅區,房地(土地+建物),高雄市苓雅區光華一路301~330號,3.24,商,1050717,土地1建物1車位0,十二層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,860709,37.22,1,1,1,有,有,有,8000,215,,0,0,,RPUNMLPKQHLFFBE88CC
鼓山區,建物,高雄市鼓山區文信路181~210號,5.25,住,1050731,土地0建物1車位0,七層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,901008,47.8,2,1,1,有,有,有,14950,313,,0,0,,RPPNMLQKQHLFFAE38CC
前鎮區,房地(土地+建物),高雄市前鎮區一心二路181~210號,2.42,住,1050814,土地1建物1車位0,十層,20,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,831001,40.82,1,1,1,有,無,有,8000,196,,0,0,,RPPNMLQKQHLFFCE58CC
左營區,建物,高雄市左營區富民路421~450號,0,其他,1050717,土地0建物1車位0,十三層,16,住宅大樓(11層含以上有電梯),住家用,見其它登記事項,870921,136.48,3,2,2,有,有,有,12000,88,,0,0,土地屬高雄市政府,RPQOMLQKQHLFFEE98CC
左營區,房地(土地+建物),高雄市左營區新榮街151~180號,17.88,住,1050718,土地1建物1車位0,十三層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,960404,142.6,3,2,2,有,有,有,18500,130,,0,0,,RPROMLQKQHLFFEE09CC
楠梓區,房地(土地+建物),高雄市楠梓區德賢路380巷1~30號,68.76,商,1050812,土地2建物1車位0,全,4,透天厝,住商用,鋼筋混凝土造,831228,209.82,4,2,4,有,無,無,21000,100,,0,0,,RPWOMLQKQHLFFEE96CC
左營區,建物,高雄市左營區立文路91~120號,0,商,1050816,土地0建物1車位0,一層,15,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,1030327,303.87,0,0,0,無,有,有,150000,494,坡道平面,29.27,0,,RPPPMLQKQHLFFEE98CC
三民區,房地(土地+建物),高雄市三民區正興路1~30號,12.2,商,1050815,土地1建物1車位0,十層,25,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,810514,184.87,4,2,2,有,有,無,14000,76,,0,0,,RPXNMLQKQHLFFDE86CC
三民區,建物,高雄市三民區明誠一路331~360號,0,住,1050801,土地0建物0車位0,一層,5,店面(店鋪),住商用,鋼筋混凝土造,921219,57.42,0,1,1,有,無,無,25000,435,,0,0,,RPOOMLRKQHLFFDE78CC
左營區,建物,高雄市左營區孟子路601~630號,0,商,1050805,土地0建物1車位0,十層,16,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,840511,144.26,1,1,1,有,有,無,15000,104,,0,0,,RPORMLRKQHLFFEE56CC
左營區,建物,高雄市左營區華夏路211~240號,0,住,1050802,土地0建物1車位0,見其它登記事項,5,店面(店鋪),住商用,鋼筋混凝土造,830825,361.71,4,5,5,有,無,無,48000,133,,0,0,,RPQRMLRKQHLFFEE76CC
楠梓區,房地(土地+建物),高雄市楠梓區軍校路691~720號,27.57,住,1050808,土地1建物1車位0,三層,13,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,790914,237.54,3,2,2,有,無,無,20000,84,,0,0,,RPURMLRKQHLFFEE17CC
苓雅區,建物,高雄市苓雅區新光路62巷1~30號,0,商,1050722,土地0建物1車位0,二十一層,35,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,860421,144.28,3,2,2,有,有,有,15000,104,,0,0,,RPUOMLRKQHLFFBE56CC
新興區,房地(土地+建物)+車位,高雄市新興區七賢一路151~180號,10.72,住,1050808,土地1建物1車位1,十二層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,981005,281.14,4,2,3,有,有,有,55000,196,坡道平面,22.44,0,,RPWNMLSKQHLFFBE76CC
鼓山區,房地(土地+建物),高雄市鼓山區慶豐街1~30號,97,住,1050720,土地1建物1車位0,全,5,透天厝,住商用,鋼筋混凝土造,990908,85.63,1,2,1,有,無,無,45000,526,,0,0,僅租賃透天中的1和2樓,RPTOMLSKQHLFFAE09CC
鼓山區,房地(土地+建物)+車位,高雄市鼓山區美術北三路211~240號,16.77,住,1050721,土地1建物1車位1,九層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,970425,119.21,3,2,2,有,有,有,24000,201,升降機械,6.71,0,,RPVOMLSKQHLFFAE66CC
左營區,建物,高雄市左營區博愛二路1~30號,0,住,1050809,土地0建物1車位0,全,5,透天厝,住家用,鋼筋混凝土造,971209,759.54,0,0,0,無,無,無,50000,66,,0,0,土地持分未分割,RPSNMLSKQHLFFEE66CC
